Code;Name;Type
11.01.14.2009;Lawe Cimanok;6
11.01.15;Bakongan Timur;4
11.01.15.2001;Pasie Seubadeh;6
11.01.15.2002;Ladang Rimba;6
11.01.15.2003;Ujong Pulo Rayeuk;6
11.01.15.2004;Sawah Tingkeum;6
11.01.15.2005;Simpang;6
11.01.15.2006;Ujong Pulo Cut;6
11.01.15.2008;Seuleukat;6
11.01.16;Trumon Timur;4
11.01.16.2005;Pinto Rimba;6
11.01.16.2006;Krueng Luas;6
11.01.16.2007;Jambo Dalem;6
11.01.16.2008;Kapa Sesak;6
11.01.16.2009;Seuneubok Punto;6
11.01.16.2010;Seuneubok Pusaka;6
11.01.16.2011;Alur Bujok;6
11.01.16.2012;Titi Poben;6
11.01.17;Kota Bahagia;4
11.01.17.2001;Buket Gadeng;6
11.01.17.2002;Rambong;6
11.01.17.2003;Seuneubok Keuranji;6
11.01.17.2004;Seuneubok Alur Buloh;6
11.01.17.2005;Ujong Tanoh;6
11.01.17.2006;Ujong Gunong Cut;6
11.01.17.2007;Ujong Gunung Rayeuk;6
11.01.17.2008;Beutong;6
11.01.17.2009;Jambo Keupok;6
11.01.17.2010;Alurduamas;6
11.01.18;Trumon Tengah;4
11.01.18.2001;Ladang Rimba;6
11.01.18.2002;Gunong Kapho;6
11.01.18.2003;Kampong Teungoh;6
11.01.18.2004;Krueng Batee;6
11.01.18.2005;Pulo Paya;6
11.01.18.2006;Jambo Papeun;6
11.01.18.2007;Cot Bayu;6
11.01.18.2008;Naca;6
11.01.18.2009;Ie Jeureuneh;6
11.01.18.2010;Lhok Raya;6
11.02;Kabupaten Aceh Tenggara;2
11.02.01;Lawe Alas;4
11.02.01.2001;Engkeran;6
11.02.01.2002;Rumah Kampung;6
11.02.01.2004;Pasir Bangun;6
11.02.01.2006;Kubu;6
11.02.01.2007;Lawe Kongker;6
11.02.01.2008;Kuta Cingkam II;6
11.02.01.2009;Muara Baru;6
11.02.01.2011;Kuta Batu I;6
11.02.01.2012;Kuta Cingkam I;6
11.02.01.2013;Kuta Batu II;6
11.02.01.2014;Lawe Sempilang;6
11.02.01.2015;Prapat Batu Nunggul;6
11.02.01.2016;Pulo Sepang;6
11.02.01.2017;Rih Mbelang;6
11.02.01.2018;Kute Batu Baru;6
11.02.01.2019;Darul Amin;6
11.02.01.2020;Lawe Lubang Indah;6
11.02.01.2021;Batu Hamparan;6
11.02.01.2022;Paye Munje;6
11.02.01.2023;Pulo Ndadap;6
11.02.01.2024;Pasir Nunggul;6
11.02.01.2025;Cingkham Mekhanggun;6
11.02.01.2026;Pintu Khimbe;6
11.02.01.2027;Lawe Kongker Hilir;6
11.02.01.2028;Pulo Gadung;6
11.02.01.2029;Pasikh Pehkmate;6
11.02.01.2030;Pasikh Nunang;6
11.02.01.2031;Deleng Kukusen;6
11.02.02;Lawe Sigala-Gala;4
11.02.02.2001;Bukit Merdeka;6
11.02.02.2002;Darul Aman;6
11.02.02.2003;Lawe Kesumpat;6
11.02.02.2004;Lawe Tua Gabungan;6
11.02.02.2005;Lawe Sigala II;6
11.02.02.2006;Lawe Sigala Timur;6
11.02.02.2007;Lawe Sigala Barat;6
11.02.02.2008;Suka Damai;6
11.02.02.2009;Kute Tengah;6
11.02.02.2010;Tanah Baru;6
11.02.02.2011;Kedataran Gabungan;6
11.02.02.2012;Gabungan Parsaroan;6
11.02.02.2013;Lawe Loning Gabungan;6
11.02.02.2014;Lawe Loning Aman;6
11.02.02.2015;Suka Maju;6
11.02.02.2016;Lawe Tua Makmur;6
11.02.02.2017;Lawe Tua Persatuan;6
11.02.02.2018;Lawe Serke;6
11.02.02.2019;Lawe Rakat;6
11.02.02.2020;Suka Jaya;6
11.02.02.2021;Enmiya Batu Dua Ratus;6
11.02.02.2022;Sebungke;6
11.02.02.2023;Bukit Sepakat;6
11.02.02.2024;Lawe Loning Sepakat;6
11.02.02.2025;Lawe Loning I;6
11.02.02.2026;Gaya Jaya;6
11.02.02.2027;Gelah Musara;6
11.02.02.2028;Mulie Dame;6
11.02.02.2029;Lawe Loning Hakhapen;6
11.02.02.2030;Karya Indah;6
11.02.02.2031;Kayu Mbelin;6
11.02.02.2032;Lawe Sigala Barat Jaya;6
11.02.02.2033;Lawe Pekhidinen;6
11.02.02.2034;Kertimbang;6
11.02.02.2035;Ndauh Nitenggo;6
11.02.03;Bambel;4
11.02.03.2001;Bambel Gabungan;6
11.02.03.2002;Kuta Buluh;6
11.02.03.2005;Lawe Hijo;6
11.02.03.2006;Pinding;6
11.02.03.2009;Terutung Megara Asli;6
11.02.03.2011;Biak Muli;6
11.02.03.2012;Kute Lang-Lang;6
11.02.03.2013;Pedesi;6
11.02.03.2014;Terutung Payung Hulu;6
11.02.03.2015;Terutung Payung Hilir;6
11.02.03.2016;Tualang Sembilar;6
11.02.03.2017;Kuning I;6
11.02.03.2018;Kuning II;6
11.02.03.2019;Cinta Damai;6
11.02.03.2020;Likat;6
11.02.03.2021;Rikit;6
11.02.03.2023;Bambel;6
11.02.03.2025;Lawe Kihing;6
11.02.03.2026;Terutung Seperai;6
11.02.03.2027;Kute Seri;6
11.02.03.2028;Kuta Antara;6
11.02.03.2029;Pulo Perengge;6
11.02.03.2031;Pulo Kendondong;6
11.02.03.2033;Pancakh Iman;6
11.02.03.2034;Biak Muli Baru;6
11.02.03.2035;Biak Muli Pantai Raja;6
11.02.03.2036;Biak Muli Sejahtera;6
11.02.03.2037;Lembah Haji;6
11.02.03.2038;Terutung Payung Gabungan;6
11.02.03.2039;Lawe Hijo Metuah;6
11.02.03.2040;Ampera;6
11.02.03.2041;Tembilakh Mbakhu;6
11.02.03.2042;Kute Lang-Lang Bakhu;6
11.02.04;Babussalam;4
11.02.04.2001;Kota Kutacane;6
11.02.04.2002;Perapat Hilir;6
11.02.04.2003;Perapat Hulu;6
11.02.04.2004;Muara Lawe Bulan;6
11.02.04.2005;Mbarung;6
11.02.04.2006;Batu Mbulan Asli;6
11.02.04.2007;Batu Mbulan I;6
11.02.04.2008;Batu Mbulan II;6
11.02.04.2009;Kampung Raja;6
11.02.04.2010;Pulonas;6
11.02.04.2011;Kampung Melayu Gabungan;6
11.02.04.2012;Terutung Pedi;6
11.02.04.2013;Kute Rih;6
11.02.04.2014;Gumpang Jaya;6
11.02.04.2015;Pulo Latong;6
11.02.04.2016;Kutacane Lama;6
11.02.04.2017;Batu Mbulan Mbaru;6
11.02.04.2018;Pulo Peding;6
11.02.04.2019;Mendabe;6
11.02.04.2020;Ujung Barat;6
11.02.04.2021;Pekhapat Titi Panjang;6
11.02.04.2022;Pekhapat Sepakat;6
11.02.04.2023;Alas Marancar;6
11.02.04.2024;Batu Mbulan Sepakat;6
11.02.04.2025;Pulo Sanggakh;6
11.02.04.2026;Melayu I;6
11.02.04.2027;Mbarung Datuk Saudane;6
11.02.05;Badar;4
11.02.05.2005;Salang Alas;6
11.02.05.2009;Kuta Pasir;6
11.02.05.2011;Purwodadi;6
11.02.05.2012;Kuta Tinggi;6
11.02.05.2013;Kampung Baru;6
11.02.05.2014;Peranginan;6
11.02.05.2015;Natam;6
11.02.05.2025;Kumbang Jaya;6
11.02.05.2026;Kumbang Indah;6
11.02.05.2027;Natam Baru;6
11.02.05.2029;Deleng Megakhe;6
11.02.05.2030;Lawe Bekung;6
11.02.05.2031;Lawe Bekung Tampahan;6
11.02.05.2032;Badar Indah;6
11.02.05.2033;Batu Mbekhong;6
11.02.05.2034;Tanah Merah;6
11.02.05.2035;Tanoh Megakhe;6
11.02.05.2036;Lawe Sekerah;6
11.02.06;Babul Makmur;4
11.02.06.2001;Pardomuan II;6
11.02.06.2002;Lawe Desky I;6
11.02.06.2003;Lawe Desky Sabas;6
11.02.06.2004;Pardomuan I;6
11.02.06.2005;Cinta Damai;6
11.02.06.2006;Lawe Perbunga;6
11.02.06.2007;Lawe Desky Tongah;6
11.02.06.2008;Kute Bakti;6
11.02.06.2010;Muara Situlen;6
11.02.06.2011;Sejahtera;6
11.02.06.2012;Kute Makmur;6
11.02.06.2013;Pardamean;6
11.02.06.2014;Lawe Mantik;6
11.02.06.2015;Cinta Makmur;6
11.02.06.2016;Muara Setia;6
11.02.06.2017;Tanoh Alas;6
11.02.06.2018;Sejahtera Baru;6
11.02.06.2024;Lawe Tawakh;6
11.02.06.2025;Sabilussalam;6
11.02.06.2026;Lawe Desky Jaya;6
11.02.06.2027;Pintu Alas;6
11.02.07;Darul Hasanah;4
11.02.07.2001;Gulo;6
11.02.07.2002;Pulo Piku;6
11.02.07.2003;Terutung Kute;6
11.02.07.2004;Kute Ujung;6
11.02.07.2005;Lawe Stul;6
11.02.07.2006;Kite Merangun;6
11.02.07.2007;Mamas;6
11.02.07.2008;Tanjung Lama;6
11.02.07.2009;Tanjung Muda;6
11.02.07.2010;Rambung Teldak;6
11.02.07.2011;Tanjung Aman;6
11.02.07.2012;Sri Muda;6
11.02.07.2013;Ujung Baru;6
11.02.07.2014;Kute Rambe;6
11.02.07.2015;Mamas Baru;6
11.02.07.2016;Rambung Jaya;6
11.02.07.2017;Makmur Jaya;6
11.02.07.2018;Darul Makmur;6
11.02.07.2019;Tanjung Bakhu;6
11.02.07.2020;Pulo Gabung;6
11.02.07.2021;Kokhtan Jaya;6
11.02.07.2022;Istiqamah;6
11.02.07.2023;Lawe Mamas Indah;6
11.02.07.2024;Tanjung Leuser;6
11.02.07.2025;Simpang IV Tanjung;6
11.02.07.2026;Lawe Pinis;6
11.02.07.2027;Buntul Kendawi;6
11.02.07.2028;Kuning Abadi;6
11.02.08;Lawe Bulan;4
11.02.08.2001;Pasir Gala;6
11.02.08.2002;Pasir Penjengakan;6
11.02.08.2003;Kutambaru;6
11.02.08.2004;Lawe Sagu Hulu;6
11.02.08.2005;Lawe Sagu Hilir;6
11.02.08.2006;Kute Bantil;6
11.02.08.2011;Lawe Kolok;6
11.02.08.2012;Lawe Rutung;6
11.02.08.2013;Kampung Nangka;6
11.02.08.2014;Tenembak Juhar;6
11.02.08.2015;Simpang Empat;6
11.02.08.2016;Kuta Buluh Botong;6
11.02.08.2017;Katambaru Becawan;6
11.02.08.2018;Lawe Kinge;6
11.02.08.2019;Kandang Mbelang Mandiri;6
11.02.08.2020;Mbacang Racun;6
11.02.08.2021;Telaga Mekar;6
